"External ID","Бригада","Регион","Начало смены","Расход топлива/Оборудование/Наименование оборудования","Расход топлива/Количество","Расход топлива/Заправка / Расход"
"","","","","Воздуходувка GB-26","0.9","Расход"
"","","","","Р12 Лайн-лазер Грако 3900","2.4","Расход"
"","","","","К07 Электростанция","10.0","Заправка"
"","","","","Воздуходувка GB-26","10.0","Заправка"
"","","","","Р12 Лайн-лазер Грако 3900","10.0","Заправка"
"","","","","П01 Газ АМ 6426-1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21408_089e1078","Р02  Михалойть","Россия","2023-09-01 21:00:00","Р03 ГАЗ NEXT АН 7652-1 (новый)","8.17","Расход"
"","","","","Р02 воздуходувка","1.8","Расход"
"","","","","Р03 Бензогенератор","2.2","Расход"
"__export__.roadmark_mrp_shift_work_shift_21397_23be00ef","Р06 Христик","Россия","2023-09-01 21:30:00","П01  Бензогенератор","2.2","Расход"
"","","","","Р02 HYUNDAI АМ6919-1","53.79","Расход"
"","","","","К07 Воздуходувка","0.9","Расход"
"","","","","Р02 HYUNDAI АМ6919-1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21383_435b84ff","К03 Медведь","Россия","2023-09-01 22:00:00","К03 ШМЕЛЬ12А  АМ3348-1","50.18","Расход"
"","","","","К03 HYUNDAI  АК 1163-1","10.73","Расход"
"","","","","К03 Воздуходувка","0.9","Расход"
"","","","","К03 ШМЕЛЬ12А  АМ3348-1","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21405_d1942593","Р10 Тямов","Россия","2023-09-02 04:00:00","Газель 330232 Е064ВХ763","46.75","Расход"
"","","","","Бензогенератор Бизон ГБ-2700","15.0","Расход"
"","","","","Бензогенератор Бизон ГБ-2700","20.0","Заправка"
"","","","","Газель 330232 Е064ВХ763","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21396_dce2106b","Р11 Островский","Россия","2023-09-02 04:00:00","Р11 LineLazer","3.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21409_155c811b","Т01 Федоров (Тычковочная)","Россия","2023-09-02 05:00:00","Р09 Газ В721ХС763","36.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21448_005ad9c8","У01 Богдан","Россия","2023-09-02 05:00:00","JAC N120 АР 5964-1","11.08","Расход"
"","","","","Контур 400 № 009-6","66.7","Расход"
"","","","","Вулкан 3000 новый","91.65","Расход"
"","","","","П08 ГАЗ NEXT АН 7654-1 (новый)","80.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21398_2a653ccd","К01 Чурак","Беларусь","2023-09-02 06:00:00","П05 Контур 650 ХП №24","40.0","Расход"
"","","","","П05 Контур 650 ХП №24","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21399_ad6fb41e","К06 Камалов_","Россия","2023-09-02 06:00:00","К06 HYUNDAI VT (HD78)  В784ХС763","34.56","Расход"
"","","","","К04 Двигатель ""Кубота""","46.8","Расход"
"","","","","К06 ШМЕЛЬ 12А В146ВН763","43.82","Расход"
"","","","","К06 воздуходувка","1.8","Расход"
"","","","","К06 воздуходувка","10.0","Заправка"
"","","","","К04 Двигатель ""Кубота""","40.0","Заправка"
"","","","","К06 HYUNDAI VT (HD78)  В784ХС763","40.0","Заправка"
"","","","","К06 ШМЕЛЬ 12А В146ВН763","110.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21404_ef01b6b1","П02 Лагодич","Россия","2023-09-02 06:50:00","П05 Бензогенератор","2.2","Расход"
"","","","","К04 ГАЗ  AM 6425-1","30.2","Расход"
"","","","","П02 МАЗ АМ 2272-1","17.0","Расход"
"","","","","Контур 650 ХПЭ №37","64.0","Расход"
"","","","","К04 ГАЗ  AM 6425-1","75.0","Заправка"
"","","","","Контур 650 ХПЭ №37","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21406_fae77be1","П06 Алькин","Россия","2023-09-02 07:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21403_66c50a27","П09 Мартынюк","Россия","2023-09-02 07:00:00","Контур 400 №007-3","60.0","Расход"
"","","","","Вулкан 3000","115.9","Расход"
"","","","","Газель NEXT 5710 АР-1","46.65","Расход"
"","","","","JAC N120 АР 5962-1","38.04","Расход"
"","","","","Газель NEXT 5710 АР-1","70.0","Заправка"
"","","","","Вулкан 3000","150.0","Заправка"
"","","","","Контур 400 №007-3","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21430_54a1e71b","Р08 Алексеев","Россия","2023-09-02 07:00:00","Р08 HYUNDAI VT (HD78)   В837ХР763","130.9","Расход"
"","","","","Р08 HYUNDAI VT (HD78)   В837ХР763","100.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21418_bb10a4eb","К05 Наумчик","Россия","2023-09-02 07:20:00","К05 Шмель 11 АН АМ 6527-1","29.62","Расход"
"","","","","К05 Шмель 11 АН АМ 6527-1","25.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21445_42104932","Д01 Небеленчук (демаркиратор)","Беларусь","2023-09-02 08:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21428_e31e1729","П04 Старикевич","Россия","2023-09-02 08:00:00","П04 МАЗ АН4994-1","44.58","Расход"
"","","","","П04 ГАЗ  АН 0195-1","36.69","Расход"
"","","","","П04 Вулкан 5000 №003","60.3","Расход"
"","","","","Контур 750 №1","52.6","Расход"
"","","","","Контур 750 №1","60.0","Заправка"
"","","","","П04 Вулкан 5000 №003","60.0","Заправка"
"","","","","П04 ГАЗ  АН 0195-1","60.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21407_3e5e80b3","П05 Протасевич","Россия","2023-09-02 08:00:00","К01 ГАЗ  АН 0391-1","61.09","Расход"
"","","","","К01 ГАЗ  АН 0391-1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21400_9e969410","Р01 Бочкарёв","Россия","2023-09-02 08:00:00","Р04 HYUNDAI АН 0303-1","17.6","Расход"
"","","","","Р04 HYUNDAI АН 0303-1","28.2","Расход"
"__export__.roadmark_mrp_shift_work_shift_21450_ff332a49","Р04 Безсилко","Россия","2023-09-02 08:00:00","К02 ГАЗ NEXT АН 7653-1 (новый)","14.86","Расход"
"__export__.roadmark_mrp_shift_work_shift_21437_cd7c4972","У02 Саржан","Россия","2023-09-02 08:00:00","Контур 400 №1","47.4","Расход"
"","","","","ГАЗел NEXT АР5699-1","30.88","Расход"
"","","","","Вулкан 2х1500 №9","58.16","Расход"
"","","","","JAC N120 АР 5957-1","28.0","Расход"
"","","","","ГАЗел NEXT АР5699-1","70.0","Заправка"
"","","","","Вулкан 2х1500 №9","70.0","Заправка"
"","","","","Контур 400 №1","70.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21458_a4ea7b63","Р05 Шумик","Беларусь","2023-09-02 09:00:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21502_0873bd16","Р03 Тахасюк","Россия","2023-09-02 09:18:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21413_136339ec","К04 Северенюк","Россия","2023-09-02 09:25:00","ГАЗ NEXT АР 5743-1","17.25","Расход"
"","","","","П02 Вулкан 5000 (Аренда)","54.0","Расход"
"","","","","П02 Контур 700 ТП №112","38.8","Расход"
"","","","","Б1.1 МАЗ  АI7476-1","11.85","Расход"
"","","","","П02 Контур 700 ТП №112","100.0","Заправка"
"","","","","П02 Вулкан 5000 (Аренда)","150.0","Заправка"
"","","","","ГАЗ NEXT АР 5743-1","40.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21417_1ca33afa","П08 Латыев","Россия","2023-09-02 10:00:00","ГАЗ В721ХС763 (подменный)","42.2","Расход"
"","","","","ГАЗ В721ХС763 (подменный)","33.14","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21487_ddac6354","Р12 Демух","Россия","2023-09-02 12:00:00","Воздуходувка GB-26","0.9","Расход"
"","","","","Р12 Лайн-лазер Грако 3900","1.8","Расход"
"","","","","П01 Газ АМ 6426-1","10.27","Расход"
"__export__.roadmark_mrp_shift_work_shift_21689_c771f1f8","Субподряд (ИП Галстян) Крым","Россия","2023-09-02 14:57:00","","",""
"__export__.roadmark_mrp_shift_work_shift_21401_cb4ba675","К03 Медведь","Россия","2023-09-02 20:30:00","К03 ШМЕЛЬ12А  АМ3348-1","49.59","Расход"
"","","","","К03 HYUNDAI  АК 1163-1","20.98","Расход"
"","","","","К03 Воздуходувка","0.9","Расход"
"__export__.roadmark_mrp_shift_work_shift_21410_790f57e3","Р02  Михалойть","Россия","2023-09-02 21:00:00","Р03 ГАЗ NEXT АН 7652-1 (новый)","13.17","Расход"
"","","","","Р03 Бензогенератор","5.5","Расход"
"","","","","Р02 воздуходувка","1.8","Расход"
"","","","","Р03 Бензогенератор","40.0","Заправка"
"","","","","Р02 воздуходувка","10.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21416_938ef7b5","Р06 Христик","Россия","2023-09-02 21:40:00","Р02 HYUNDAI АМ6919-1","71.16","Расход"
"","","","","К07 Воздуходувка","0.9","Расход"
"","","","","П01  Бензогенератор","1.1","Расход"
"","","","","Р02 HYUNDAI АМ6919-1","50.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21421_83a3a901","П09 Мартынюк","Россия","2023-09-03 03:00:00","Вулкан 3000","156.6","Расход"
"","","","","Вулкан 3000","200.0","Заправка"
"__export__.roadmark_mrp_shift_work_shift_21433_d637e8fe","Р10 Тямов","Россия","2023-09-03 04:00:00","Газель 330232 Е064ВХ763","45.72","Расход"
"","","","","Бензогенератор Бизон ГБ-2700","8.0","Расход"
"__export__.roadmark_mrp_shift_work_shift_21438_8ca9df10","У02 Саржан","Россия","2023-09-03 04:00:00","Р06 Вулкан 2х400","66.93","Расход"
"","","","","Контур 400 №1","69.2","Расход"
"","","","","Контур 400 №1","70.0","Заправка"
"","","","","Р06 Вулкан 2х400","70.0","Заправка"
